group,n,auc,f1,tpr,fpr,positive_pred_rate
WN,1421238,0.7098087774017698,0.4486470103824581,0.7259092214232021,0.42120087287125146,0.48765583245030036
DL,972931,0.6557820131118731,0.3267795026218784,0.3952165367927312,0.2003529669130389,0.23224976899697924
AA,928058,0.6518279075244566,0.419730806827581,0.7047650222118307,0.4950686634705856,0.5433884520148525
UA,720032,0.6617321336281268,0.39713672504774505,0.6565511571172482,0.42826854381907686,0.47531359717345895
OO,661596,0.6008086746738706,0.28853669127225356,0.40805180546897535,0.27550138328187007,0.29703474628020726
YX,286490,0.622306414681314,0.27141216044244804,0.5269934553225591,0.3541787958483066,0.37676009633844115
B6,267915,0.675938273027757,0.5171400518970475,0.8825733093955715,0.6936837252189949,0.7525894406808129
NK,258838,0.6656360055753455,0.4942319968699162,0.795473829347192,0.5854424513385311,0.6466477101507506
AS,242643,0.611260654063369,0.35039797511290416,0.5723640026863667,0.41407728403292393,0.4451601735883582
MQ,224695,0.6140215460201008,0.3328797349140085,0.5307037972201113,0.36774477710954745,0.3973297136117849
9E,196905,0.6126890401325408,0.27191923095502635,0.41083093091997225,0.26042760557397554,0.28135903100479925
OH,191072,0.6196196334724299,0.3186494978744378,0.48869291338582677,0.3145830456559672,0.34351448668564727
F9,173459,0.6574587765270188,0.5021241480485344,0.9039339752407153,0.7777590932786251,0.8174208314356707
G4,114425,0.6584826603727394,0.4575405762211695,0.7947593835362358,0.5874109375737272,0.6411448547083243
HA,79842,0.7067272319347082,0.46659627917136925,0.6760206772866336,0.3803955062085277,0.4505899150822875
